Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2014,50,Exodus: Gods and Kings,Fox,"$65,014,513 ","3,503","$24,115,934 ","3,503",12月12日,2月26日,2 hrs. 30 min.,Drama,PG-13
2014,51,The Nut Job,ORF,"$64,251,541 ","3,472","$19,423,000 ","3,427",1月17日,5月8日,1 hrs. 26 min.,Animation,PG
2014,52,God's Not Dead,Free,"$60,755,732 ","1,860","$9,217,013 ",780,3月21日,8月7日,1 hrs. 53 min.,Drama,PG
2014,53,Son of God,Fox,"$59,700,064 ","3,271","$25,601,865 ","3,260",2月28日,6月5日,2 hrs. 18 min.,Drama,PG-13
2014,54,The Grand Budapest Hotel,FoxS,"$59,301,324 ","1,467","$811,166 ",4,3月7日,2月26日,1 hrs. 40 min.,Comedy,R
2014,55,Planes: Fire & Rescue,BV,"$59,165,787 ","3,839","$17,509,407 ","3,826",7月18日,11月13日,1 hrs. 23 min.,Animation,PG
2014,56,RoboCop (2014),Sony,"$58,607,007 ","3,372","$21,681,430 ","3,372",2月12日,5月18日,1 hrs. 48 min.,Sci-Fi Action,PG-13
2014,57,Dracula Untold,Uni.,"$56,280,355 ","2,900","$23,514,615 ","2,885",10月10日,11月27日,1 hrs. 32 min.,Action Horror,PG-13
2014,58,Horrible Bosses 2,WB,"$54,445,357 ","3,400","$15,457,418 ","3,375",11月26日,2月19日,1 hrs. 48 min.,Comedy,R
2014,59,The Hundred-Foot Journey,BV,"$54,240,821 ","2,167","$10,979,290 ","2,023",8月8日,12月4日,2 hrs. 2 min.,Drama,PG
2014,60,No Good Deed (2014),SGem,"$52,543,632 ","2,175","$24,250,283 ","2,175",9月12日,11月2日,1 hrs. 24 min.,Thriller,PG-13
2014,61,Selma,Par.,"$52,076,908 ","2,235","$571,450 ",19,12月25日,4月16日,2 hrs. 7 min.,Drama,PG-13
